x,y,layer1,layer2,voltage1,voltage2,current
2533.7,487.95,INTERNALPLANE1,INTERNALPLANE2,0.0104717,0.00978789,0.389724
2533.7,487.95,INTERNALPLANE2,BOTTOMLAYER,0.00978789,0.00973529,0.389724
2533.7,537.163,TOPLAYER,INTERNALPLANE1,0.0107932,0.0108471,-0.399516
2533.7,537.163,INTERNALPLANE1,INTERNALPLANE2,0.0108471,0.0115481,-0.399516
2533.7,537.163,INTERNALPLANE2,BOTTOMLAYER,0.0115481,0.011602,-0.399516
2533.7,635.588,TOPLAYER,INTERNALPLANE1,0.012716,0.012716,-1.28528e-14
2533.7,635.588,INTERNALPLANE1,INTERNALPLANE2,0.012716,0.012716,-8.89807e-15
2533.7,635.588,INTERNALPLANE2,BOTTOMLAYER,0.012716,0.012716,-0
2538.57,257.749,TOPLAYER,INTERNALPLANE1,0.00455405,0.00455405,-1.28528e-14
2538.57,257.749,INTERNALPLANE1,INTERNALPLANE2,0.00455405,0.00455405,-1.48301e-14
2538.57,257.749,INTERNALPLANE2,BOTTOMLAYER,0.00455405,0.00455405,-6.42638e-15
2681.34,783.226,TOPLAYER,INTERNALPLANE1,0.0136698,0.0136728,-0.0225797
2681.34,783.226,INTERNALPLANE1,INTERNALPLANE2,0.0136728,0.0137124,-0.0225797
2681.34,783.226,INTERNALPLANE2,BOTTOMLAYER,0.0137124,0.0137155,-0.0225797
2681.34,1019.45,TOPLAYER,INTERNALPLANE1,0.0144319,0.0144131,0.139202
2681.34,1019.45,INTERNALPLANE1,INTERNALPLANE2,0.0144131,0.0141688,0.139202
2681.34,1019.45,INTERNALPLANE2,BOTTOMLAYER,0.0141688,0.01415,0.139202
2681.34,1255.67,TOPLAYER,INTERNALPLANE1,0.014489,0.0144785,0.0777527
2681.34,1255.67,INTERNALPLANE1,INTERNALPLANE2,0.0144785,0.0143421,0.0777527
2681.34,1255.67,INTERNALPLANE2,BOTTOMLAYER,0.0143421,0.0143316,0.0777527
2681.34,1491.89,TOPLAYER,INTERNALPLANE1,0.0144906,0.0144849,0.0421259
2681.34,1491.89,INTERNALPLANE1,INTERNALPLANE2,0.0144849,0.014411,0.0421259
2681.34,1491.89,INTERNALPLANE2,BOTTOMLAYER,0.014411,0.0144053,0.0421259
2681.34,1728.11,TOPLAYER,INTERNALPLANE1,0.0144739,0.014471,0.0217531
2681.34,1728.11,INTERNALPLANE1,INTERNALPLANE2,0.014471,0.0144328,0.0217531
2681.34,1728.11,INTERNALPLANE2,BOTTOMLAYER,0.0144328,0.0144299,0.0217531
2681.34,1964.33,TOPLAYER,INTERNALPLANE1,0.0144566,0.0144552,0.0109031
2681.34,1964.33,INTERNALPLANE1,INTERNALPLANE2,0.0144552,0.0144361,0.0109031
2681.34,1964.33,INTERNALPLANE2,BOTTOMLAYER,0.0144361,0.0144346,0.0109031
2681.34,2200.55,TOPLAYER,INTERNALPLANE1,0.0144428,0.0144421,0.00539483
2681.34,2200.55,INTERNALPLANE1,INTERNALPLANE2,0.0144421,0.0144326,0.00539483
2681.34,2200.55,INTERNALPLANE2,BOTTOMLAYER,0.0144326,0.0144319,0.00539483
2681.34,2436.77,TOPLAYER,INTERNALPLANE1,0.0144322,0.0144318,0.00265683
2681.34,2436.77,INTERNALPLANE1,INTERNALPLANE2,0.0144318,0.0144272,0.00265683
2681.34,2436.77,INTERNALPLANE2,BOTTOMLAYER,0.0144272,0.0144268,0.00265683
2681.34,2672.99,TOPLAYER,INTERNALPLANE1,0.0144241,0.0144239,0.00130724
2681.34,2672.99,INTERNALPLANE1,INTERNALPLANE2,0.0144239,0.0144216,0.00130724
2681.34,2672.99,INTERNALPLANE2,BOTTOMLAYER,0.0144216,0.0144214,0.00130724
2681.34,2909.21,TOPLAYER,INTERNALPLANE1,0.0144179,0.0144178,0.000644536
2681.34,2909.21,INTERNALPLANE1,INTERNALPLANE2,0.0144178,0.0144167,0.000644536
2681.34,2909.21,INTERNALPLANE2,BOTTOMLAYER,0.0144167,0.0144166,0.000644536
2681.34,3145.43,TOPLAYER,INTERNALPLANE1,0.0144133,0.0144132,0.000321375
2681.34,3145.43,INTERNALPLANE1,INTERNALPLANE2,0.0144132,0.0144127,0.000321375
2681.34,3145.43,INTERNALPLANE2,BOTTOMLAYER,0.0144127,0.0144126,0.000321375
2681.34,3381.65,TOPLAYER,INTERNALPLANE1,0.01441,0.01441,0.00016864
2681.34,3381.65,INTERNALPLANE1,INTERNALPLANE2,0.01441,0.0144097,0.00016864
2681.34,3381.65,INTERNALPLANE2,BOTTOMLAYER,0.0144097,0.0144097,0.00016864
2681.34,3617.87,TOPLAYER,INTERNALPLANE1,0.0144081,0.0144081,0.000106898
2681.34,3617.87,INTERNALPLANE1,INTERNALPLANE2,0.0144081,0.0144079,0.000106898
2681.34,3617.87,INTERNALPLANE2,BOTTOMLAYER,0.0144079,0.0144079,0.000106898
2917.56,783.226,TOPLAYER,INTERNALPLANE1,0.0142417,0.014236,0.0422026
2917.56,783.226,INTERNALPLANE1,INTERNALPLANE2,0.014236,0.014162,0.0422026
2917.56,783.226,INTERNALPLANE2,BOTTOMLAYER,0.014162,0.0141563,0.0422026
2917.56,1019.45,TOPLAYER,INTERNALPLANE1,0.0148291,0.0148019,0.201165
2917.56,1019.45,INTERNALPLANE1,INTERNALPLANE2,0.0148019,0.014449,0.201165
2917.56,1019.45,INTERNALPLANE2,BOTTOMLAYER,0.014449,0.0144218,0.201165
2917.56,1255.67,TOPLAYER,INTERNALPLANE1,0.0147142,0.0147007,0.100085
2917.56,1255.67,INTERNALPLANE1,INTERNALPLANE2,0.0147007,0.0145251,0.100085
2917.56,1255.67,INTERNALPLANE2,BOTTOMLAYER,0.0145251,0.0145116,0.100085
2917.56,1491.89,TOPLAYER,INTERNALPLANE1,0.0146388,0.0146313,0.0558973
2917.56,1491.89,INTERNALPLANE1,INTERNALPLANE2,0.0146313,0.0145332,0.0558973
2917.56,1491.89,INTERNALPLANE2,BOTTOMLAYER,0.0145332,0.0145256,0.0558973
2917.56,1728.11,TOPLAYER,INTERNALPLANE1,0.0145653,0.0145617,0.0271761
2917.56,1728.11,INTERNALPLANE1,INTERNALPLANE2,0.0145617,0.014514,0.0271761
2917.56,1728.11,INTERNALPLANE2,BOTTOMLAYER,0.014514,0.0145103,0.0271761
2917.56,1964.33,TOPLAYER,INTERNALPLANE1,0.0145167,0.0145149,0.0130012
2917.56,1964.33,INTERNALPLANE1,INTERNALPLANE2,0.0145149,0.0144921,0.0130012
2917.56,1964.33,INTERNALPLANE2,BOTTOMLAYER,0.0144921,0.0144903,0.0130012
2917.56,2200.55,TOPLAYER,INTERNALPLANE1,0.0144846,0.0144838,0.00623804
2917.56,2200.55,INTERNALPLANE1,INTERNALPLANE2,0.0144838,0.0144729,0.00623804
2917.56,2200.55,INTERNALPLANE2,BOTTOMLAYER,0.0144729,0.014472,0.00623804
2917.56,2436.77,TOPLAYER,INTERNALPLANE1,0.0144627,0.0144623,0.00301304
2917.56,2436.77,INTERNALPLANE1,INTERNALPLANE2,0.0144623,0.014457,0.00301304
2917.56,2436.77,INTERNALPLANE2,BOTTOMLAYER,0.014457,0.0144566,0.00301304
2917.56,2672.99,TOPLAYER,INTERNALPLANE1,0.0144472,0.014447,0.00146412
2917.56,2672.99,INTERNALPLANE1,INTERNALPLANE2,0.014447,0.0144444,0.00146412
2917.56,2672.99,INTERNALPLANE2,BOTTOMLAYER,0.0144444,0.0144443,0.00146412
2917.56,2909.21,TOPLAYER,INTERNALPLANE1,0.014436,0.0144359,0.000714844
2917.56,2909.21,INTERNALPLANE1,INTERNALPLANE2,0.0144359,0.0144347,0.000714844
2917.56,2909.21,INTERNALPLANE2,BOTTOMLAYER,0.0144347,0.0144346,0.000714844
